2017年04月21 16:56:15.351 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017年04月21 16:56:22.443 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000261: Table found: gzlc.t_sys_deptment
2017年04月21 16:56:22.444 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000037: Columns: [id, create_date, manger, tel, name, update_date, code, short_name, parent_id]
2017年04月21 16:56:22.444 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000108: Foreign keys: [fk_1ifh6vy3otbxeo67qwi5yl01u]
2017年04月21 16:56:22.444 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000126: Indexes: [fk_1ifh6vy3otbxeo67qwi5yl01u, primary]
2017年04月21 16:56:22.739 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000261: Table found: gzlc.t_sys_item
2017年04月21 16:56:22.739 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000037: Columns: [id, category, model, create_date, name, state, imgcode, update_date, format, code]
2017年04月21 16:56:22.739 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000108: Foreign keys: [fk_srfl1q36ht5hxw4s46a28gpix]
2017年04月21 16:56:22.739 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000126: Indexes: [fk_srfl1q36ht5hxw4s46a28gpix, primary]
2017年04月21 16:56:23.031 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000261: Table found: gzlc.t_users
2017年04月21 16:56:23.031 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000037: Columns: [id, username, sex, create_date, remark, email, tel, chinesename, update_date, openid, password, salt]
2017年04月21 16:56:23.031 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000108: Foreign keys: []
2017年04月21 16:56:23.031 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000126: Indexes: [primary]
2017年04月21 16:56:23.328 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000261: Table found: gzlc.t_users_roles
2017年04月21 16:56:23.328 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000037: Columns: [t_users, roles]
2017年04月21 16:56:23.328 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000108: Foreign keys: [fk_45sc819m86wsbya32nkx6ltde, fk_34lo3jfq6sra2171lh3s03ay2]
2017年04月21 16:56:23.328 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000126: Indexes: [uk_45sc819m86wsbya32nkx6ltde, fk_45sc819m86wsbya32nkx6ltde, primary, fk_34lo3jfq6sra2171lh3s03ay2]
2017年04月21 16:56:23.642 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000261: Table found: gzlc.t_workflow_ship
2017年04月21 16:56:23.642 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000037: Columns: [id, project, approve, reject, create_date, remark, state, receive_name, update_date, creater, type, receive_date, receive_tel, receive_addr]
2017年04月21 16:56:23.642 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000108: Foreign keys: [fk_e1bm5pqhy8tgkaxnr31ovha9c, fk_k389wxael7q1egtewax7q0oeg]
2017年04月21 16:56:23.642 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000126: Indexes: [fk_e1bm5pqhy8tgkaxnr31ovha9c, primary, fk_k389wxael7q1egtewax7q0oeg]
2017年04月21 16:56:23.949 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000261: Table found: gzlc.t_workitem
2017年04月21 16:56:23.949 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000037: Columns: [id, files, title, end_date, approve, reject, create_date, remark, leader, state, begin_date, update_date, creater]
2017年04月21 16:56:23.949 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000108: Foreign keys: [fk_4wgyyrto3c88hh8sfr34sx8ow, fk_tenbrmilow3i21vash71uv5kd]
2017年04月21 16:56:23.949 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000126: Indexes: [fk_4wgyyrto3c88hh8sfr34sx8ow, primary, fk_tenbrmilow3i21vash71uv5kd]
2017年04月21 16:56:24.247 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000261: Table found: gzlc.t_workitem_applyusers
2017年04月21 16:56:24.248 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000037: Columns: [applyusers, t_workitem]
2017年04月21 16:56:24.248 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000108: Foreign keys: [fk_rufmda2ma97jxieqndak7wpbw, fk_383rceqkxhhb5bqka1041up6f]
2017年04月21 16:56:24.248 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000126: Indexes: [fk_rufmda2ma97jxieqndak7wpbw, primary, fk_383rceqkxhhb5bqka1041up6f, uk_383rceqkxhhb5bqka1041up6f]
2017年04月21 16:56:24.542 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000261: Table found: gzlc.t_workitem_handleusers
2017年04月21 16:56:24.542 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000037: Columns: [t_workitem, handleusers]
2017年04月21 16:56:24.542 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000108: Foreign keys: [fk_ismjaj9rmoevyc5kadh5ils5m, fk_17cj4e435kx5j75ilq75xovn4]
2017年04月21 16:56:24.542 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000126: Indexes: [fk_ismjaj9rmoevyc5kadh5ils5m, primary, fk_17cj4e435kx5j75ilq75xovn4, uk_ismjaj9rmoevyc5kadh5ils5m]
2017年04月21 16:56:24.838 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000261: Table found: gzlc.t_workitem_users
2017年04月21 16:56:24.838 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000037: Columns: [users, t_workitem]
2017年04月21 16:56:24.838 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000108: Foreign keys: [fk_k6wvxq8osavhyb4tptjavts2u, fk_cni3wss3hy09xpio920h092tl]
2017年04月21 16:56:24.838 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000126: Indexes: [fk_k6wvxq8osavhyb4tptjavts2u, primary, uk_cni3wss3hy09xpio920h092tl, fk_cni3wss3hy09xpio920h092tl]
2017年04月21 16:56:25.177 [main] INFO  org.hibernate.tool.hbm2ddl.SchemaUpdate - HHH000232: Schema update complete
2017年04月21 16:56:25.232 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'entityManagerFactory' of type [class org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:25.249 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'entityManagerFactory' of type [class com.sun.proxy.$Proxy30] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:25.269 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean '(inner bean)#7f8b9b86' of type [class com.sun.proxy.$Proxy31] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:25.392 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'jpaMapppingContext' of type [class org.springframework.data.jpa.repository.config.JpaMetamodelMappingContextFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:25.393 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'jpaMapppingContext' of type [class org.springframework.data.jpa.mapping.JpaMetamodelMappingContext] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:25.711 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userRepository' of type [class org.springframework.data.jpa.repository.support.JpaRepositoryFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:25.722 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userRepository' of type [class com.sun.proxy.$Proxy34] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:25.786 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean '(inner bean)#6e90c87d' of type [class org.springframework.beans.factory.config.PropertiesFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:25.786 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean '(inner bean)#6e90c87d' of type [class java.util.Properties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:25.787 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean '(inner bean)#4a44db2a' of type [class org.springframework.data.repository.core.support.PropertiesBasedNamedQueries] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:25.788 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean '(inner bean)#5ac235b5' of type [class org.springframework.data.repository.query.ExtensionAwareEvaluationContextProvider] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:25.793 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean '(inner bean)#4542ca0' of type [class com.sun.proxy.$Proxy31] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:25.802 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'roleRepository' of type [class org.springframework.data.jpa.repository.support.JpaRepositoryFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:25.802 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'roleRepository' of type [class com.sun.proxy.$Proxy38] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:25.823 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userService' of type [class com.pzy.jcook.sys.service.UserService] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:25.851 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'transactionManager' of type [class org.springframework.orm.jpa.JpaTransactionManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:25.861 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean '(inner bean)#a2c869d' of type [class org.springframework.transaction.interceptor.NameMatchTransactionAttributeSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:25.863 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'txAdvice' of type [class org.springframework.transaction.interceptor.TransactionInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:25.975 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'credentialsMatcher' of type [class com.pzy.jcook.sys.shiro.CustomCredentialsMatcher] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:25.982 [main] INFO  org.apache.shiro.realm.AuthorizingRealm - No cache or cacheManager properties have been set.  Authorization cache cannot be obtained.
2017年04月21 16:56:25.982 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'myRealm' of type [class com.pzy.jcook.sys.shiro.MyRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:26.015 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sessionValidationScheduler' of type [class org.apache.shiro.session.mgt.quartz.QuartzSessionValidationScheduler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:26.025 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sessionIdGenerator' of type [class org.apache.shiro.session.mgt.eis.JavaUuidSessionIdGenerator] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:26.026 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sessionDAO' of type [class org.apache.shiro.session.mgt.eis.EnterpriseCacheSessionDAO] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:26.049 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sessionIdCookie' of type [class org.apache.shiro.web.servlet.SimpleCookie] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:26.053 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sessionManager' of type [class org.apache.shiro.web.session.mgt.DefaultWebSessionManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:26.184 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'cacheManager' of type [class org.apache.shiro.cache.ehcache.EhCacheManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:26.232 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'rememberMeCookie' of type [class org.apache.shiro.web.servlet.SimpleCookie] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:26.235 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'rememberMeManager' of type [class org.apache.shiro.web.mgt.CookieRememberMeManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:26.239 [main] INFO  org.apache.shiro.cache.ehcache.EhCacheManager - Using existing EHCache named [authorizationCache]
2017年04月21 16:56:26.240 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'securityManager' of type [class org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:26.306 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'oAuth2AuthenticationFilter' of type [class com.pzy.jcook.sys.shiro.oauth2.OAuth2AuthenticationFilter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:26.312 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'util:map#2c60db95' of type [class org.springframework.beans.factory.config.MapFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:26.315 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'util:map#2c60db95' of type [class java.util.LinkedHashMap] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017年04月21 16:56:29.008 [main] DEBUG o.a.e.i.p.entity.PropertyEntity.selectProperty - ooo Using Connection [Transaction-aware proxy for target Connection [com.alibaba.druid.proxy.jdbc.ConnectionProxyImpl@6d79924e]]
2017年04月21 16:56:29.014 [main] DEBUG o.a.e.i.p.entity.PropertyEntity.selectProperty - ==>  Preparing: select * from ACT_GE_PROPERTY where NAME_ = ? 
2017年04月21 16:56:29.050 [main] DEBUG o.a.e.i.p.entity.PropertyEntity.selectProperty - ==> Parameters: schema.version(String)
2017年04月21 16:56:29.124 [main] DEBUG o.a.e.i.p.entity.PropertyEntity.selectProperty - <==      Total: 1
2017年04月21 16:56:29.240 [main] INFO  org.activiti.engine.impl.ProcessEngineImpl - ProcessEngine default created
2017年04月21 16:56:30.116 [Thread-3] INFO  o.s.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@54266750: startup date [Fri Apr 21 16:56:16 CST 2017]; root of context hierarchy
2017年04月21 16:56:30.164 [Thread-3] INFO  org.quartz.simpl.SimpleThreadPool - Job execution threads will use class loader of thread: Thread-3
2017年04月21 16:56:30.215 [Thread-3] INFO  org.quartz.core.SchedulerSignalerImpl - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
2017年04月21 16:56:30.215 [Thread-3] INFO  org.quartz.core.QuartzScheduler - Quartz Scheduler v.1.6.1 created.
2017年04月21 16:56:30.224 [Thread-3] INFO  org.quartz.simpl.RAMJobStore - RAMJobStore initialized.
2017年04月21 16:56:30.224 [Thread-3] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler 'DefaultQuartzScheduler' initialized from default resource file in Quartz package: 'quartz.properties'
2017年04月21 16:56:30.224 [Thread-3] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler version: 1.6.1
2017年04月21 16:56:30.225 [Thread-3] INFO  org.quartz.core.QuartzScheduler - Scheduler DefaultQuartzScheduler_$_NON_CLUSTERED shutting down.
